objectid,title,filename,president,commencement_address,guest_speakers,date,archival_date,location,latitude,longitude,source,identifier,type,format,format original,language,rights,rightsstatement,object_location,image_small,image_thumb,Reference URL,cdmid,CONTENTdm file name,CONTENTdm file path
commencement047,University of Idaho Forty-ninth Commencement,commencement-1944.pdf,"Dale, Harrison Clifford ","Messenger, James Franklin",,1944-05-29,29 May 1944,Memorial Armory-Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1944,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/commencement-1944.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1944_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1944_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1182,1182,1188.pdf,/commencement/image/1188.pdf
commencement048,University of Idaho Fiftieth Commencement,uicommencement-1945-06-4.pdf,"Dale, Harrison Clifford ","Wells, Richard H. ",,1945-06-04,04 June 1945,Memorial Armory-Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1945-06-4,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1945-06-4.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1945-06-4_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1945-06-4_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1065,1065,1110.pdf,/commencement/image/1110.pdf
commencement049,University of Idaho Fifty-first Commencement,uicommencement-1946-06-03.pdf,"Dale, Harrison Clifford ","Ghormley, Robert Lee ",,1946-06-03,03 June 1946,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1946-06-03,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1946-06-03.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1946-06-03_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1946-06-03_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1135,1135,1176.pdf,/commencement/image/1176.pdf
commencement050,University of Idaho Fifty-second Commencement,uicommencement-1947-06-02.pdf,"Buchanan, Jesse Everett ","Royall, Kenneth Claiborne",,1947-06-02,02 June 1947,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1947-06-02,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1947-06-02.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1947-06-02_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1947-06-02_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1205,1205,1102.pdf,/commencement/image/1102.pdf
commencement051,University of Idaho Baccalaureate Services Fifty-Third Commencement,uicommencement-1948-05-30.pdf,"Buchanan, Jesse Everett ",,,1948-05-30,30 May 1948,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1948-05-30,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1948-05-30.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1948-05-30_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1948-05-30_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1208,1208,1161.pdf,/commencement/image/1161.pdf
commencement052,University of Idaho Fifty-third Commencement,uicommencement-1948-05-31.pdf,"Buchanan, Jesse Everett ","Sproul, Robert Gordon ",,1948-05-31,31 May 1948,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1948-05-31,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1948-05-31.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1948-05-31_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1948-05-31_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1072,1072,1117.pdf,/commencement/image/1117.pdf
commencement053,University of Idaho Baccalaureate Services Fifty-Fourth Commencement,uicommencement-1949-05-29.pdf,"Buchanan, Jesse Everett ",,,1949-05-29,29 May 1949,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1949-05-29,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1949-05-29.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1949-05-29_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1949-05-29_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1158,1158,1096.pdf,/commencement/image/1096.pdf
commencement054,University of Idaho Fifty-fourth Commencement,uicommencement-1949-05-30.pdf,"Buchanan, Jesse Everett ","Williams, W. Walter ",,1949-05-30,30 May 1949,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1949-05-30,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1949-05-30.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1949-05-30_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1949-05-30_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1218,1218,1116.pdf,/commencement/image/1116.pdf
commencement055,University of Idaho Fifty-Fifth Commencement,commencement-1950.pdf,"Buchanan, Jesse Everett ","Hoyt, Edwin Palmer",,1950-06-05,05 June 1950,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1950,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/commencement-1950.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1950_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1950_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1071,1071,1095.pdf,/commencement/image/1095.pdf
commencement056,Commencement and Baccalaurate Addresses,uicommencement-1950-06-05.pdf,,"Hoyt, Palmer",,1950-06-05,05 June 1950,,,,University of Idaho Library Special Collections and Archives,uicommencement-1950-06-05,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1950-06-05.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1950-06-05_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1950-06-05_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1181,1181,1084.pdf,/commencement/image/1084.pdf
commencement057,University of Idaho Fifty-Sixth Commencement,uicommencement-1951-06-04.pdf,"Buchanan, Jesse Everett ","Davis, Howard Pierce ",,1951-06-04,04 June 1951,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1951-06-04,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1951-06-04.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1951-06-04_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1951-06-04_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1197,1197,1091.pdf,/commencement/image/1091.pdf
commencement058,University of Idaho Fifty-Seventh Commencement,uicommencement-1952-06-09.pdf,"Buchanan, Jesse Everett ","French, C. Clement ",,1952-06-09,09 June 1952,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1952-06-09,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1952-06-09.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1952-06-09_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1952-06-09_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1061,1061,1065.pdf,/commencement/image/1065.pdf
commencement059,University of Idaho Fifty-Eighth Commencement,uicommencement_1953-06-07.pdf,"Buchanan, Jesse E. ",,,1953-06-07,07 June 1953,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement_1953-06-07,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement_1953-06-07.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement_1953-06-07_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement_1953-06-07_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1089,1089,1109.pdf,/commencement/image/1109.pdf
commencement060,University of Idaho Fifty-Ninth Commencement,uicommencement-1954-06-06.pdf,"Buchanan, Jesse Everett ",,,1954-06-06,06 June 1954,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1954-06-06,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1954-06-06.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1954-06-06_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1954-06-06_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1177,1177,1153.pdf,/commencement/image/1153.pdf
commencement061,University of Idaho Sixtieth Commencement,uicommencement-1955-06-05.pdf,"Theophilus, Donald Richard",,,1955-06-05,05 June 1955,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1955-06-05,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1955-06-05.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1955-06-05_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1955-06-05_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1200,1200,1139.pdf,/commencement/image/1139.pdf
commencement062,University of Idaho Sixty-First Commencement,uicommencement-1956-06-10.pdf,"Theophilus, Donald Richard ",,,1956-06-10,10 June 1956,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1956-06-10,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1956-06-10.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1956-06-10_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1956-06-10_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1058,1058,1087.pdf,/commencement/image/1087.pdf
commencement063,Sixty-Second Commencement,commencement-1957.pdf,"Theophilus, Donald Richard ",,,1957-06-09,09 June 1957,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1957,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/commencement-1957.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1957_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1957_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1063,1063,1175.pdf,/commencement/image/1175.pdf
commencement064,University of Idaho Sixty-Second Commencement Degrees Conferred,uicommencement-1957-06-09.pdf,"Theophilus, Donald Richard",,,1957-06-09,09 June 1957,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1957-06-09,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1957-06-09.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1957-06-09_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1957-06-09_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1166,1166,1210.pdf,/commencement/image/1210.pdf
commencement065,University of Idaho Sixty-Third Commencement Degrees Conferred,degrees_conferred-1958.pdf,"Theophilus, Donald R. ",,,1958-06-08,08 June 1958,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,degrees_conferred-1958,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/degrees_conferred-1958.pdf,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1958_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1958_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1114,1114,1115.pdf,/commencement/image/1115.pdf
commencement066,University of Idaho Sixty-Third Commencement,uicommencement-1958-06-08.pdf,"Theophilus, Donald Richard",,,1958-06-08,08 June 1958,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1958-06-08,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1958-06-08.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1958-06-08_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1958-06-08_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1183,1183,1141.pdf,/commencement/image/1141.pdf
commencement067,University of Idaho Sixty-Fourth Commencement,commencement-1959.pdf,"Theophilus, Donald Richard ",,,1959-06-07,07 June 1959,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1959,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/commencement-1959.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1959_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1959_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1185,1185,1215.pdf,/commencement/image/1215.pdf
commencement068,University of Idaho Sixty-Fourth Commencement Degrees Conferred,degrees_conferred-1959.pdf,"Theophilus, Donald R. ",,,1959-06-07,07 June 1959,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,degrees_conferred-1959,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/degrees_conferred-1959.pdf,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1959_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1959_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1211,1211,1127.pdf,/commencement/image/1127.pdf
commencement069,University of Idaho Sixty-Fifth Commencement,commencement-1960.pdf,"Theophilus, Donald Richard ","Lindley, Ernest K.",,1960-06-05,05 June 1960,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1960,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/commencement-1960.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1960_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1960_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1074,1074,1119.pdf,/commencement/image/1119.pdf
commencement070,University of Idaho Sixty-Fifth Commencement Degrees Conferred,degrees_conferred-1960.pdf,"Theophilus, Donald R. ",,,1960-06-05,05 June 1960,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,degrees_conferred-1960,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/degrees_conferred-1960.pdf,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1960_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1960_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1075,1075,1181.pdf,/commencement/image/1181.pdf
commencement071,University of Idaho Sixty-Sixth Commencement,uicommencement-1961-06-11.pdf,"Theophilus, Donald Richard","Walker, Donald E. ",,1961-06-11,11 June 1961,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1961-06-11,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1961-06-11.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1961-06-11_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1961-06-11_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1154,1154,1151.pdf,/commencement/image/1151.pdf
commencement072,University of Idaho Sixty-Seventh Commencement,uicommencement-1962-06-10.pdf,"Theophilus, Donald Richard","Theophilus, Donald Richard",,1962-06-10,10 June 1962,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1962-06-10,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1962-06-10.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1962-06-10_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1962-06-10_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1215,1215,1130.pdf,/commencement/image/1130.pdf
commencement073,University of Idaho Sixty-Eighth Commencement,uicommencement-1963-06-09.pdf,"Theophilus, Donald Richard","Smylie, Robert E. ",,1963-06-09,09 June 1963,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1963-06-09,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1963-06-09.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1963-06-09_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1963-06-09_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1123,1123,1078.pdf,/commencement/image/1078.pdf
commencement074,University of Idaho Sixty-Ninth Commencement Candidates for Degree,uicommencement-1964-06-14.pdf,"Theophilus, Donald Richard","Hansberger, R. V. ",,1964-06-14,14 June 1964,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1964-06-14,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://objects.lib.uidaho.edu/commencement/uicommencement-1964-06-14.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1964-06-14_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1964-06-14_sm.jpg,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1138,1138,1156.pdf,/commencement/image/1156.pdf
